collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,C,Java,Ruby,Assembly,C++,JavaScript,ActionScript,HTML,CSS,TSQL,Objective-C,Other,OCaml,Shell,TypeScript,Dockerfile,Go,Lex,Groovy,ANTLR,Batchfile,CoffeeScript,Tcl,Makefile,CMake,Python,PHP,Gherkin,Vim Snippet,Puppet,C#,Yacc,Vue,Swift,Roff,PowerShell,OpenSCAD,MATLAB,FreeMarker,PLpgSQL,Fortran,Csound,M,GLSL,Verilog,Lua,Perl,Awk,TeX,XSLT,Jupyter Notebook,R,Gnuplot,GAP,Scilab,Emacs Lisp,Objective-C++,Vim script,CWeb,YASnippet,Clojure,Inno Setup,Reason,Common Lisp,Rust,Starlark,Cuda,PureBasic,Scala
Software development tools,better_errors,BetterErrors,6620,440,175,10500.0,625,2,0,34,80,38.0,226.0,12,189,,,70.0,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,jshint,jshint,8381,1702,306,,2220,4,0,75,240,375.0,1943.0,59,1081,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,validator,validator,866,198,63,15300.0,3844,2,0,52,44,82.0,714.0,7,151,,88.0,,,,2.0,,4.0,0.0,,,0.0,,,,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,travis-ci,travis-ci,7987,748,243,,3645,3,0,232,94,128.0,10088.0,0,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,sentry,getsentry,25052,2819,675,297.0,30388,399,0,337,447,938.0,3120.0,174,14764,,,,,,19.0,,1.0,0.0,,,,,,16.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,jenkins,jenkinsci,15613,6255,897,,29999,30,0,734,613,,,62,4673,,85.0,0.0,,,3.0,,7.0,2.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,pybuilder,pybuilder,1213,220,100,,1252,5,0,96,30,68.0,372.0,14,272,,,,,,,,,,,,0.0,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software development tools,signale,klaussinani,8120,233,78,2400.0,168,1,0,7,10,24.0,37.0,9,38,,,,,,72.0,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software in science,simbody,simbody,1534,391,160,,4776,19,0,23,44,113.0,158.0,18,400,10.0,,,,88.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software in science,cmssw,cms-sw,732,3227,75,,210103,99,0,2090,832,364.0,1944.0,66,27736,3.0,,,,59.0,,,,,,,1.0,,0.0,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,4.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
