collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,Rust,Python,JavaScript,C++,Makefile,Shell,Other,TypeScript,HTML,CSS,Ruby,Roff,Swift,Dockerfile,CoffeeScript,Java,GAP,CMake,Go,Emacs Lisp,Vim script,Haskell,Batchfile,PowerShell,Perl,R,Jupyter Notebook,Scala,PostScript,PHP,ActionScript,QML,Objective-C,CartoCSS,C,Objective-C++,Clojure,Erlang,SuperCollider,Gherkin,Vue,PLpgSQL,TSQL,Lua,Groovy,Puppet,C#,Tcl,SaltStack,NSIS,Rich Text Format,Starlark,M,Jsonnet,Hack,GLSL,Kotlin,AppleScript,HLSL,Assembly,xBase,OpenEdge ABL,LilyPond,HiveQL,MLIR,Cuda,XSLT,IDL,Smarty,ASP,VCL,TeX
JavaScript Game Engines,whs.js,WhitestormJS,5448,377.0,263,,2264,7,0,33,35,41.0,188.0,0,172,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,goojs,GooTechnologies,1120,137.0,67,,6381,199,0,124,24,16.0,2.0,4,20,,,97.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,planck.js,shakiba,3697,223.0,71,,346,3,0,23,17,29.0,55.0,0,42,,,99.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,ige,Irrelon,373,131.0,237,,2540,17,0,16,17,17.0,399.0,0,57,,,97.0,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,GDevelop,4ian,2199,339.0,146,,5511,20,0,99,41,200.0,788.0,25,761,,,26.0,66.0,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,three.js,mrdoob,61103,23807.0,2500,,33342,6,0,109,1275,446.0,9336.0,111,9606,,,99.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JavaScript Game Engines,Impact,phoboslab,1488,143.0,67,,253,1,0,0,4,30.0,31.0,1,17,,,85.0,,,,0.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,30-seconds-of-code,30-seconds,57018,6276.0,1800,,4937,1,0,6,192,0.0,245.0,1,857,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,railsgirls.github.io,railsgirls,2096,615.0,507,,1131,3,0,0,191,16.0,36.0,6,380,,,17.0,,,,,,34.0,28.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn to Code,docs,railsbridge,1047,414.0,67,,1382,30,0,0,165,36.0,176.0,18,439,,,18.0,,,,,,6.0,20.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
